enzyme,substrates,products,genes_id
1.4.3.21,"['C00375', 'C00001', 'C00007']","['C00071', 'C00014', 'C00027']","['314', '8639']"
1.4.3.22,"['C00388', 'C00001', 'C00007']","['C00014', 'C00027']",['26']
1.4.3.3,"['C00405', 'C00001', 'C00007']","['C00161', 'C00014', 'C00027']",['1610']
1.4.3.4,"['C21299', 'C00001', 'C00007']","['C00071', 'C21300', 'C00027']","['4128', '4129']"
1.4.3.5,"['C00647', 'C00001', 'C00007', 'C00627']","['C00018', 'C00014', 'C00027']",['55163']
1.4.4.2,"['C00037', 'C02051']","['C01242', 'C00011']",['2731']
1.5.1.15,"['C00143', 'C00003']","['C00445', 'C00004', 'C00080']","['10797', '441024']"
1.5.1.2,"['C00148', 'C00003', 'C00006']","['C03912', 'C00004', 'C00005', 'C00080']","['29920', '5831', '65263']"
1.5.1.25,"['C03901', 'C00003', 'C00006']","['C00004', 'C00005', 'C00080']",['1428']
1.5.1.3,"['C00101', 'C00006']","['C00415', 'C00005', 'C00080']","['1719', '200895']"
1.5.1.30,"['C01007', 'C00006']","['C00255', 'C00005', 'C00080']",['645']
1.5.1.34,"['C05650', 'C00003', 'C00006']","['C05649', 'C00004', 'C00005', 'C00080']",['5860']
1.5.1.5,"['C00143', 'C00006']","['C00445', 'C00005', 'C00080']",['4522']
1.5.1.53,"['C00440', 'C00006']","['C00143', 'C00005', 'C00080']",['4524']
1.5.1.6,"['C00234', 'C00006', 'C00001']","['C00101', 'C00011', 'C00005', 'C00080']","['10840', '160428']"
1.5.1.8,"['C00449', 'C00006', 'C00001']","['C00047', 'C00026', 'C00005', 'C00080']",['10157']
1.5.1.9,"['C00449', 'C00003', 'C00001']","['C00025', 'C04076', 'C00004', 'C00080']",['10157']
1.5.3.1,"['C00213', 'C00001', 'C00007']","['C00037', 'C00067', 'C00027']",['51268']
1.5.3.13,"['C00612', 'C00007', 'C00001', 'C02567']","['C00134', 'C18170', 'C00027', 'C00315']",['196743']
