Group,Subgroup,Pathway
Immune System,Innate Immune System,R-HSA-9013957
Immune System,Innate Immune System,R-HSA-9013973
Immune System,Innate Immune System,R-HSA-9014325
Immune System,Innate Immune System,R-HSA-168179
Immune System,Innate Immune System,R-HSA-168188
Immune System,Innate Immune System,R-HSA-3249367
Immune System,Innate Immune System,R-HSA-3270619
Immune System,Innate Immune System,R-HSA-3248023
Immune System,Innate Immune System,R-HSA-5607761
Immune System,Innate Immune System,R-HSA-5607763
Immune System,Innate Immune System,R-HSA-5660668
Immune System,Innate Immune System,R-HSA-844455
Immune System,Innate Immune System,R-HSA-844456
Immune System,Innate Immune System,R-HSA-844615
Immune System,Innate Immune System,R-HSA-844623
Immune System,Innate Immune System,R-HSA-937039
Immune System,Innate Immune System,R-HSA-937042
Immune System,Innate Immune System,R-HSA-937061
Immune System,Innate Immune System,R-HSA-166662
Immune System,Innate Immune System,R-HSA-173623
Immune System,Innate Immune System,R-HSA-9758274
Immune System,Innate Immune System,R-HSA-450282
Immune System,Innate Immune System,R-HSA-450302
Immune System,Innate Immune System,R-HSA-450321
Immune System,Innate Immune System,R-HSA-5684264
Immune System,Innate Immune System,R-HSA-975110
Immune System,Innate Immune System,R-HSA-975138
Immune System,Innate Immune System,R-HSA-2855086
Immune System,Innate Immune System,R-HSA-198753
Immune System,Innate Immune System,R-HSA-199920
Immune System,Innate Immune System,R-HSA-450341
Immune System,Innate Immune System,R-HSA-2562578
Immune System,Innate Immune System,R-HSA-936964
Immune System,Innate Immune System,R-HSA-937041
Immune System,Innate Immune System,R-HSA-937072
Immune System,Innate Immune System,R-HSA-975144
Immune System,Innate Immune System,R-HSA-975163
Immune System,Innate Immune System,R-HSA-202670
Neuronal System,Neuronal System,R-HSA-112316
Neuronal System,Transmission across Electrical Synapses ,R-HSA-112307
Neuronal System,Transmission across Electrical Synapses ,R-HSA-112303
Neuronal System,Transmission across Chemical Synapses,R-HSA-112315
Neuronal System,Transmission across Chemical Synapses,R-HSA-112308
Neuronal System,Transmission across Chemical Synapses,R-HSA-112310
Neuronal System,Transmission across Chemical Synapses,R-HSA-112311
